"Estado","Sexo","Edad","Color","Años de estudio","Ingresos","Altura"
"Parana","Femenino","61","Blanco","8","4000","1.78"
"Rio de Janeiro","Femenino","60","Negro","7","900","1.86"
"Amazonas","Masculino","67","Pardo","8","90","1.66"
"Bahia","Masculino","35","Blanco","5","1500","1.72"
"Minas Gerais","Masculino","40","Pardo","0","550","1.7"
"Tocantins","Masculino","66","Pardo","4","0","1.76"
"Para","Masculino","46","Pardo","0","788","1.53"
"Parana","Masculino","58","Blanco","11","4200","1.78"
"Maranhao","Masculino","65","Negro","0","0","1.55"
"Rio Grande do Sul","Femenino","47","Blanco","15","1600","1.75"
"Bahia","Masculino","50","Negro","8","1500","1.62"
"Minas Gerais","Masculino","49","Pardo","8","1500","1.55"
"Espirito Santo","Masculino","31","Blanco","11","1200","1.66"
"Para","Femenino","42","Pardo","11","500","1.69"
"Rio Grande do Sul","Masculino","39","Blanco","14","1970","1.65"
"Maranhao","Femenino","37","Pardo","11","788","1.62"
" Goias","Masculino","45","Pardo","10","1500","1.76"
"Rio de Janeiro","Masculino","29","Negro","10","1300","1.64"
"Sao Paulo","Femenino","47","Blanco","15","4000","1.85"
"Minas Gerais","Femenino","19","Pardo","10","788","1.69"
"Rio de Janeiro","Femenino","30","Blanco","15","3000","1.63"
"Rio Grande do Norte","Femenino","33","Pardo","6","200","1.54"
"Bahia","Masculino","46","Pardo","10","800","1.71"
"Bahia","Femenino","45","Negro","15","2066","1.68"
"Pernambuco","Masculino","47","Negro","11","1500","1.58"
"Mato Grosso","Femenino","63","Blanco","3","1000","1.83"
"Rio Grande do Sul","Femenino","42","Blanco","13","1500","1.74"
"Amazonas","Masculino","44","Pardo","1","150","1.72"
"Roraima","Masculino","53","Negro","11","1800","1.7"
"Sao Paulo","Femenino","50","Blanco","15","900","1.86"
"Minas Gerais","Masculino","37","Blanco","4","1500","1.82"
"Rio de Janeiro","Masculino","27","Blanco","15","3000","1.71"
"Rio de Janeiro","Masculino","31","Pardo","11","1500","1.58"
"Pernambuco","Femenino","47","Pardo","10","800","1.86"
"Pernambuco","Masculino","57","Negro","8","1000","1.84"
"Pernambuco","Masculino","38","Pardo","15","6000","1.89"
"Minas Gerais","Masculino","35","Blanco","15","9000","1.7"
"Rio Grande do Sul","Femenino","38","Pardo","0","600","1.84"
"Maranhao","Femenino","55","Pardo","1","400","1.65"
"Pernambuco","Masculino","36","Pardo","11","1500","1.71"
"Santa Catarina","Femenino","35","Blanco","11","1150","1.61"
"Pernambuco","Masculino","33","Blanco","11","1400","1.54"
"Santa Catarina","Masculino","59","Blanco","2","300","1.61"
"Sao Paulo","Masculino","46","Pardo","8","1500","1.67"
"Piaui","Masculino","53","Pardo","3","1200","1.62"
"Piaui","Femenino","42","Pardo","15","12000","1.81"
"Rio de Janeiro","Masculino","67","Blanco","0","950","1.69"
"Distrito Federal","Femenino","28","Blanco","15","6098","1.7"
"Minas Gerais","Masculino","53","Blanco","4","1450","1.68"
"Amazonas","Femenino","26","Pardo","13","900","1.49"
"Para","Masculino","57","Pardo","15","3000","1.73"
"Sao Paulo","Femenino","40","Pardo","11","1100","1.75"
"Sao Paulo","Masculino","55","Pardo","15","2300","1.64"
"Sao Paulo","Femenino","56","Pardo","8","840","1.65"
"Alagoas","Masculino","55","Negro","8","1500","1.71"
"Minas Gerais","Masculino","41","Pardo","2","1300","1.8"
"Santa Catarina","Masculino","57","Pardo","5","800","1.68"
"Sao Paulo","Masculino","38","Pardo","2","900","1.73"
"Sergipe","Masculino","50","Blanco","1","200","1.67"
"Sao Paulo","Masculino","48","Pardo","5","900","1.76"
"Bahia","Masculino","48","Pardo","5","600","1.79"
"Rondonia","Masculino","24","Negro","11","2500","1.62"
"Parana","Masculino","30","Blanco","15","3000","1.7"
"Amazonas","Masculino","33","Pardo","5","788","1.7"
"Roraima","Masculino","68","Pardo","0","400","1.66"
"Pernambuco","Masculino","28","Pardo","9","2000","1.73"
"Tocantins","Masculino","58","Blanco","1","788","1.74"
"Minas Gerais","Femenino","60","Pardo","6","788","1.87"
"Amapa","Femenino","32","Blanco","11","2200","1.63"
"Sao Paulo","Masculino","42","Blanco","15","2900","1.67"
"Minas Gerais","Femenino","50","Pardo","9","500","1.65"
"Rio de Janeiro","Femenino","53","Pardo","11","1000","1.72"
"Parana","Masculino","51","Pardo","0","1500","1.55"
"Espirito Santo","Masculino","74","Pardo","11","500","1.65"
"Amazonas","Femenino","33","Amarillo","12","800","1.74"
" Goias","Masculino","47","Pardo","3","1200","1.76"
"Rio Grande do Sul","Masculino","29","Blanco","13","2500","1.66"
"Para","Masculino","40","Negro","5","1500","1.6"
"Minas Gerais","Masculino","45","Pardo","4","2500","1.66"
"Roraima","Masculino","52","Blanco","10","1000","1.78"
"Bahia","Masculino","50","Pardo","11","4100","1.73"
"Minas Gerais","Masculino","26","Blanco","7","1000","1.73"
"Sao Paulo","Masculino","42","Pardo","8","1200","1.86"
"Sergipe","Femenino","51","Pardo","3","0","1.66"
"Bahia","Masculino","32","Pardo","15","1100","1.81"
"Amazonas","Masculino","39","Pardo","11","800","1.53"
"Rio de Janeiro","Masculino","38","Negro","3","1250","1.74"
"Sao Paulo","Masculino","25","Blanco","12","2500","1.71"
" Goias","Femenino","24","Pardo","11","2000","1.85"
"Rio Grande do Sul","Masculino","61","Blanco","8","1000","1.77"
"Bahia","Masculino","55","Pardo","3","300","1.79"
"Parana","Femenino","53","Pardo","8","1200","1.72"
"Sao Paulo","Masculino","33","Blanco","15","2500","1.71"
"Bahia","Femenino","72","Blanco","0","0","1.62"
"Rio Grande do Norte","Masculino","38","Blanco","6","1000","1.81"
" Goias","Masculino","32","Blanco","6","1576","1.76"
"Rio de Janeiro","Masculino","69","Pardo","4","1100","1.82"
"Sao Paulo","Femenino","34","Pardo","11","400","1.59"
"Sao Paulo","Masculino","40","Blanco","15","3900","1.68"
"Acres","Masculino","43","Pardo","11","1500","1.76"
"Minas Gerais","Femenino","37","Negro","11","0","1.56"
"Para","Masculino","49","Negro","4","2800","1.69"
"Espirito Santo","Femenino","46","Pardo","11","788","1.67"
"Mato Grosso","Masculino","49","Pardo","5","500","1.84"
"Sao Paulo","Masculino","34","Blanco","5","1500","1.77"
"Rio Grande do Sul","Masculino","64","Blanco","13","5200","1.62"
"Sao Paulo","Femenino","57","Pardo","15","2000","1.64"
"Rio Grande do Sul","Masculino","56","Blanco","15","17000","1.73"
"Rondonia","Masculino","18","Blanco","5","850","1.66"
"Rondonia","Masculino","48","Pardo","15","3000","1.6"
"Minas Gerais","Masculino","29","Pardo","11","1200","1.8"
"Bahia","Femenino","32","Pardo","12","780","1.68"
"Para","Femenino","33","Pardo","11","100","1.63"
"Ceara","Masculino","50","Blanco","0","788","1.62"
"Para","Masculino","60","Pardo","0","1000","1.65"
"Pernambuco","Femenino","24","Pardo","11","800","1.74"
"Santa Catarina","Masculino","37","Blanco","8","2000","1.62"
"Minas Gerais","Masculino","49","Pardo","15","8000","1.62"
"Rio de Janeiro","Femenino","62","Blanco","15","15000","1.62"
"Minas Gerais","Masculino","35","Blanco","15","8000","1.66"
"Parana","Femenino","26","Blanco","11","802","1.74"
"Ceara","Femenino","50","Pardo","2","788","1.69"
"Parana","Masculino","46","Pardo","8","1300","1.73"
"Mato Grosso","Masculino","54","Pardo","4","1000","1.73"
"Parana","Masculino","22","Blanco","11","1500","1.63"
"Rio Grande do Norte","Femenino","48","Blanco","15","1900","1.55"
"Ceara","Masculino","46","Blanco","2","380","1.67"
"Rio de Janeiro","Femenino","38","Blanco","14","1200","1.73"
"Minas Gerais","Masculino","35","Blanco","15","7880","1.85"
"Rio Grande do Sul","Femenino","49","Negro","11","788","1.52"
"Mato Grosso","Masculino","54","Pardo","0","1000","1.63"
"Sao Paulo","Masculino","60","Blanco","15","2000","1.73"
"Sao Paulo","Masculino","28","Blanco","15","3000","1.7"
"Sao Paulo","Masculino","21","Blanco","8","650","1.73"
"Sao Paulo","Femenino","50","Pardo","11","1200","1.72"
"Sao Paulo","Masculino","37","Pardo","11","1300","1.71"
"Bahia","Masculino","55","Blanco","11","800","1.65"
"Para","Femenino","43","Pardo","4","400","1.7"
" Goias","Femenino","39","Pardo","15","2100","1.89"
"Sergipe","Masculino","37","Pardo","1","600","1.71"
"Rio de Janeiro","Masculino","60","Negro","4","800","1.76"
"Parana","Masculino","46","Blanco","15","4300","1.78"
"Sao Paulo","Masculino","54","Pardo","4","1500","1.7"
"Santa Catarina","Masculino","26","Blanco","13","2000","1.59"
" Goias","Masculino","43","Blanco","2","300","1.68"
"Rio Grande do Norte","Femenino","64","Pardo","4","0","1.76"
"Amazonas","Femenino","48","Blanco","7","120","1.68"
"Tocantins","Masculino","50","Pardo","3","0","1.62"
"Para","Masculino","28","Pardo","11","2500","1.68"
"Mato Grosso","Femenino","54","Blanco","8","3000","1.68"
"Minas Gerais","Femenino","42","Pardo","6","788","1.8"
"Minas Gerais","Masculino","39","Negro","8","1500","1.59"
"Rio Grande do Sul","Masculino","57","Blanco","5","1400","1.8"
"Sao Paulo","Masculino","42","Blanco","8","1800","1.74"
"Sao Paulo","Femenino","32","Blanco","11","1200","1.71"
" Goias","Masculino","61","Pardo","2","950","1.58"
"Rio Grande do Sul","Masculino","33","Blanco","8","1480","1.75"
"Minas Gerais","Masculino","55","Pardo","4","1200","1.74"
"Minas Gerais","Femenino","54","Blanco","8","788","1.74"
"Rondonia","Femenino","31","Blanco","12","1200","1.8"
"Amazonas","Femenino","32","Pardo","11","950","1.66"
"Distrito Federal","Masculino","62","Pardo","0","800","1.67"
"Sao Paulo","Femenino","58","Blanco","0","1800","1.72"
"Bahia","Masculino","37","Pardo","6","0","1.75"
"Para","Masculino","34","Pardo","11","500","1.59"
"Parana","Masculino","32","Blanco","15","2200","1.66"
"Piaui","Masculino","42","Pardo","3","148","1.78"
"Bahia","Femenino","30","Blanco","3","788","1.6"
"Santa Catarina","Masculino","59","Negro","4","2000","1.64"
"Roraima","Femenino","51","Indigena","6","2300","1.67"
"Rondonia","Masculino","42","Pardo","11","6000","1.74"
"Para","Femenino","27","Pardo","7","788","1.55"
"Rio de Janeiro","Femenino","47","Negro","9","1200","1.71"
"Mato Grosso","Masculino","36","Pardo","11","1600","1.61"
"Piaui","Masculino","26","Blanco","11","4000","1.68"
"Rio de Janeiro","Masculino","46","Pardo","15","7885","1.62"
"Rio Grande do Norte","Masculino","28","Blanco","11","500","1.64"
"Rio Grande do Sul","Femenino","40","Blanco","4","788","1.53"
"Sao Paulo","Masculino","62","Blanco","8","5000","1.68"
"Santa Catarina","Femenino","44","Blanco","3","1390","1.73"
"Sao Paulo","Masculino","40","Blanco","15","10000","1.79"
"Rio de Janeiro","Masculino","31","Pardo","7","1500","1.68"
"Rio Grande do Sul","Masculino","34","Blanco","15","4000","1.89"
"Bahia","Masculino","51","Pardo","11","1500","1.83"
"Parana","Masculino","41","Blanco","8","1200","1.89"
"Santa Catarina","Masculino","33","Blanco","11","2500","1.75"
"Rio Grande do Sul","Femenino","62","Blanco","6","700","1.75"
"Rio de Janeiro","Masculino","54","Negro","4","788","1.8"
"Para","Masculino","28","Blanco","11","1480","1.7"
"Ceara","Masculino","81","Pardo","4","1000","1.7"
"Bahia","Femenino","22","Pardo","9","150","1.62"
"Rio de Janeiro","Masculino","35","Negro","11","1600","1.6"
" Goias","Masculino","45","Pardo","5","5000","1.76"
"Rio de Janeiro","Masculino","52","Pardo","4","2100","1.75"
"Paraiba","Masculino","33","Pardo","8","200","1.54"
"Espirito Santo","Femenino","33","Blanco","15","4000","1.77"
"Rio de Janeiro","Masculino","41","Pardo","1","1000","1.69"
"Distrito Federal","Femenino","42","Pardo","11","900","1.72"
"Rio Grande do Sul","Masculino","46","Blanco","12","3500","1.72"
"Sao Paulo","Femenino","52","Blanco","15","2000","1.75"
"Rio de Janeiro","Femenino","48","Blanco","15","13000","1.72"
"Sao Paulo","Masculino","56","Pardo","3","500","1.82"
"Rio Grande do Sul","Femenino","56","Pardo","8","14000","1.62"
"Sao Paulo","Masculino","55","Blanco","11","2000","1.76"
"Rondonia","Femenino","59","Pardo","8","400","1.49"
"Rondonia","Masculino","60","Pardo","1","1500","1.63"
"Minas Gerais","Masculino","36","Pardo","15","4047","1.61"
"Rio de Janeiro","Femenino","50","Blanco","8","1500","1.71"
"Rio Grande do Sul","Masculino","30","Pardo","3","1400","1.69"
"Bahia","Femenino","37","Pardo","2","800","1.65"
"Minas Gerais","Masculino","39","Blanco","8","1550","1.81"
"Rio de Janeiro","Femenino","55","Blanco","15","10000","1.62"
"Tocantins","Masculino","67","Negro","15","1900","1.64"
" Goias","Masculino","49","Blanco","5","1500","1.76"
"Rio Grande do Sul","Femenino","64","Blanco","11","900","1.82"
"Minas Gerais","Masculino","37","Pardo","8","3000","1.71"
"Minas Gerais","Masculino","52","Pardo","4","1500","1.77"
"Sao Paulo","Masculino","63","Blanco","4","4000","1.73"
"Minas Gerais","Masculino","41","Pardo","3","2000","1.62"
"Sao Paulo","Masculino","27","Blanco","11","600","1.57"
" Goias","Masculino","57","Negro","0","1200","1.71"
"Tocantins","Masculino","48","Pardo","11","1000","1.76"
"Maranhao","Masculino","35","Pardo","7","300","1.6"
"Acres","Masculino","34","Blanco","5","600","1.71"
"Bahia","Femenino","49","Blanco","1","500","1.71"
"Sao Paulo","Masculino","37","Blanco","12","2400","1.67"
"Minas Gerais","Femenino","27","Blanco","15","3100","1.62"
"Bahia","Masculino","24","Pardo","7","788","1.68"
"Rio de Janeiro","Masculino","49","Pardo","8","950","1.71"
"Maranhao","Femenino","59","Pardo","0","60","1.61"
"Bahia","Masculino","42","Pardo","11","1200","1.61"
"Sao Paulo","Masculino","49","Blanco","8","1000","1.78"
"Bahia","Masculino","51","Pardo","0","700","1.77"
"Bahia","Femenino","38","Pardo","11","150","1.64"
"Minas Gerais","Masculino","76","Pardo","4","0","1.75"
"Parana","Masculino","42","Pardo","11","1000","1.72"
"Rio de Janeiro","Femenino","43","Blanco","15","3000","1.66"
" Goias","Masculino","59","Pardo","0","0","1.79"
"Espirito Santo","Masculino","29","Blanco","13","3000","1.65"
"Parana","Masculino","34","Pardo","0","1700","1.72"
"Sao Paulo","Masculino","44","Blanco","9","1500","1.7"
"Amazonas","Masculino","23","Pardo","1","1500","1.83"
"Rio Grande do Sul","Femenino","45","Blanco","11","1400","1.74"
"Sao Paulo","Masculino","80","Blanco","15","2000","1.56"
"Bahia","Masculino","48","Negro","4","788","1.59"
"Tocantins","Femenino","33","Pardo","11","250","1.68"
"Rio de Janeiro","Masculino","61","Pardo","8","3400","1.79"
"Para","Femenino","46","Pardo","15","5500","1.63"
"Minas Gerais","Masculino","39","Negro","5","3300","1.61"
"Ceara","Femenino","54","Blanco","15","1200","1.73"
"Pernambuco","Femenino","63","Blanco","15","2500","1.6"
"Tocantins","Femenino","36","Pardo","11","1550","1.77"
"Minas Gerais","Femenino","32","Negro","4","1200","1.59"
"Minas Gerais","Femenino","37","Blanco","11","788","1.6"
"Amazonas","Masculino","31","Pardo","4","1500","1.71"
"Distrito Federal","Femenino","48","Pardo","0","400","1.74"
"Espirito Santo","Masculino","38","Blanco","11","1800","1.78"
"Sao Paulo","Femenino","31","Pardo","11","1000","1.68"
"Rondonia","Masculino","34","Pardo","5","1000","1.7"
"Minas Gerais","Masculino","53","Blanco","11","1800","1.8"
"Santa Catarina","Femenino","39","Blanco","11","1200","1.67"
"Bahia","Masculino","34","Blanco","4","1200","1.71"
"Acres","Femenino","36","Negro","8","200","1.56"
"Sergipe","Masculino","46","Negro","2","400","1.81"
"Mato Grosso do Sul","Masculino","53","Blanco","11","10000","1.69"
"Pernambuco","Femenino","27","Pardo","8","788","1.7"
"Rio Grande do Sul","Femenino","47","Blanco","15","3500","1.79"
"Ceara","Femenino","44","Blanco","2","400","1.59"
"Amapa","Masculino","41","Pardo","15","2900","1.78"
"Rio de Janeiro","Masculino","34","Pardo","15","7200","1.62"
"Minas Gerais","Masculino","50","Pardo","8","788","1.7"
"Minas Gerais","Femenino","52","Pardo","7","980","1.71"
"Distrito Federal","Masculino","46","Blanco","15","14500","1.76"
"Parana","Masculino","32","Blanco","15","2500","1.82"
"Sergipe","Masculino","46","Pardo","0","788","1.62"
"Santa Catarina","Femenino","34","Blanco","15","3000","1.65"
"Ceara","Masculino","71","Blanco","0","0","1.64"
"Rondonia","Masculino","53","Pardo","11","2000","1.74"
"Para","Masculino","54","Pardo","5","788","1.74"
" Goias","Masculino","33","Pardo","11","400","1.68"
"Rio Grande do Sul","Masculino","50","Blanco","7","788","1.77"
"Bahia","Femenino","36","Pardo","8","250","1.76"
"Rondonia","Masculino","52","Blanco","15","4500","1.78"
"Para","Masculino","47","Pardo","8","1500","1.64"
"Sao Paulo","Masculino","45","Blanco","4","1500","1.76"
"Amapa","Masculino","34","Pardo","11","1050","1.68"
"Ceara","Masculino","35","Pardo","14","1500","1.69"
"Minas Gerais","Masculino","55","Negro","11","2000","1.67"
"Santa Catarina","Masculino","42","Blanco","8","1000","1.7"
"Ceara","Femenino","46","Blanco","10","800","1.74"
"Sao Paulo","Masculino","59","Blanco","15","8000","1.71"
" Goias","Masculino","44","Blanco","11","3500","1.63"
"Sao Paulo","Masculino","57","Negro","0","1300","1.79"
"Paraiba","Masculino","46","Pardo","0","300","1.79"
"Amazonas","Masculino","56","Pardo","4","300","1.76"
"Mato Grosso","Masculino","32","Pardo","8","1100","1.62"
"Sao Paulo","Femenino","25","Blanco","15","6000","1.84"
" Goias","Masculino","36","Pardo","4","1000","1.85"
"Minas Gerais","Femenino","39","Pardo","5","1500","1.76"
"Mato Grosso","Masculino","30","Pardo","8","2300","1.46"
"Rio Grande do Sul","Masculino","63","Blanco","8","4000","1.65"
"Parana","Femenino","37","Pardo","11","1000","1.65"
"Sao Paulo","Masculino","40","Blanco","8","2500","1.82"
"Minas Gerais","Femenino","34","Negro","5","850","1.76"
"Maranhao","Masculino","31","Pardo","11","860","1.7"
"Minas Gerais","Femenino","64","Pardo","1","788","1.58"
"Sao Paulo","Masculino","33","Negro","7","1200","1.6"
"Distrito Federal","Masculino","41","Pardo","0","788","1.92"
"Parana","Masculino","49","Blanco","11","720","1.63"
"Ceara","Femenino","71","Blanco","0","0","1.58"
"Tocantins","Masculino","46","Pardo","8","4000","1.79"
"Rondonia","Masculino","57","Pardo","1","1100","1.71"
"Sao Paulo","Masculino","40","Pardo","15","2000","1.56"
"Amapa","Masculino","58","Negro","1","600","1.75"
"Rio de Janeiro","Femenino","34","Blanco","12","1200","1.62"
"Bahia","Masculino","44","Negro","11","788","1.72"
"Rio de Janeiro","Masculino","61","Blanco","11","800","1.69"
"Minas Gerais","Masculino","48","Blanco","4","1200","1.78"
"Rio de Janeiro","Masculino","33","Negro","6","788","1.79"
"Rio Grande do Sul","Masculino","31","Blanco","15","8000","1.59"
"Pernambuco","Masculino","51","Pardo","4","300","1.69"
"Pernambuco","Femenino","39","Pardo","11","200","1.71"
"Mato Grosso","Masculino","40","Pardo","8","2000","1.72"
"Rio de Janeiro","Femenino","59","Pardo","4","1200","1.74"
"Rio de Janeiro","Femenino","42","Blanco","15","6000","1.58"
"Parana","Femenino","25","Blanco","11","1200","1.87"
"Bahia","Masculino","67","Pardo","1","200","1.65"
"Minas Gerais","Femenino","41","Negro","15","7500","1.66"
"Para","Femenino","38","Pardo","11","788","1.64"
"Sao Paulo","Masculino","52","Blanco","11","1000","1.66"
"Minas Gerais","Femenino","42","Pardo","11","1200","1.75"
"Maranhao","Masculino","30","Pardo","15","3000","1.7"
" Goias","Masculino","21","Pardo","5","2000","1.68"
"Sao Paulo","Masculino","33","Blanco","11","3000","1.79"
"Sao Paulo","Femenino","35","Blanco","13","2500","1.7"
"Bahia","Femenino","31","Negro","9","250","1.68"
"Distrito Federal","Masculino","64","Pardo","11","3000","1.86"
"Mato Grosso do Sul","Masculino","41","Pardo","4","1200","1.77"
"Paraiba","Masculino","83","Blanco","0","0","1.74"
"Santa Catarina","Masculino","23","Blanco","11","1800","1.68"
"Rio Grande do Sul","Masculino","48","Blanco","8","3000","1.85"
"Piaui","Masculino","74","Pardo","2","0","1.73"
"Ceara","Masculino","61","Pardo","11","600","1.63"
"Parana","Masculino","39","Blanco","15","2500","1.63"
"Pernambuco","Masculino","54","Pardo","7","788","1.73"
"Distrito Federal","Femenino","23","Pardo","11","1000","1.74"
"Bahia","Masculino","45","Blanco","4","788","1.63"
"Rio de Janeiro","Femenino","56","Blanco","14","3800","1.55"
"Pernambuco","Masculino","58","Pardo","2","200","1.71"
"Acres","Masculino","40","Blanco","0","150","1.63"
"Paraiba","Masculino","24","Blanco","0","450","1.71"
"Bahia","Femenino","36","Negro","8","500","1.73"
"Minas Gerais","Masculino","49","Pardo","7","2300","1.74"
"Rio Grande do Sul","Femenino","56","Blanco","11","500","1.64"
"Sao Paulo","Masculino","62","Blanco","8","5000","1.66"
"Sao Paulo","Femenino","61","Blanco","4","1800","1.91"
"Rio Grande do Sul","Femenino","45","Blanco","6","788","1.7"
"Minas Gerais","Masculino","53","Blanco","11","3450","1.79"
"Maranhao","Masculino","21","Pardo","11","1068","1.73"
"Sao Paulo","Femenino","26","Negro","11","980","1.61"
"Minas Gerais","Masculino","24","Negro","11","1200","1.71"
"Sao Paulo","Masculino","57","Blanco","7","600","1.85"
"Amazonas","Masculino","46","Pardo","8","986","1.66"
"Rio Grande do Sul","Masculino","42","Blanco","11","1700","1.61"
"Minas Gerais","Masculino","57","Blanco","15","2500","1.63"
"Minas Gerais","Masculino","33","Blanco","11","950","1.71"
"Minas Gerais","Masculino","36","Blanco","15","11000","1.74"
"Sao Paulo","Femenino","34","Pardo","5","800","1.8"
"Tocantins","Femenino","45","Pardo","11","700","1.74"
"Rio de Janeiro","Femenino","46","Blanco","5","900","1.73"
"Maranhao","Femenino","42","Pardo","7","788","1.67"
"Rio Grande do Sul","Masculino","28","Blanco","15","3500","1.87"
"Rio Grande do Sul","Femenino","35","Blanco","11","950","1.73"
"Para","Masculino","51","Indigena","5","1000","1.62"
"Rio Grande do Norte","Masculino","54","Negro","1","800","1.66"
"Sao Paulo","Masculino","21","Blanco","11","1750","1.69"
"Parana","Masculino","51","Blanco","7","1500","1.75"
"Bahia","Masculino","37","Blanco","11","2300","1.67"
"Para","Masculino","54","Pardo","11","1852","1.77"
"Maranhao","Masculino","48","Pardo","6","2000","1.72"
"Distrito Federal","Masculino","36","Pardo","8","1000","1.72"
"Acres","Femenino","47","Pardo","11","1020","1.8"
"Minas Gerais","Masculino","44","Blanco","8","1200","1.58"
"Rio Grande do Sul","Masculino","51","Blanco","4","1500","1.64"
"Alagoas","Masculino","49","Pardo","2","788","1.8"
"Rio Grande do Sul","Masculino","58","Blanco","0","2200","1.72"
"Espirito Santo","Masculino","42","Blanco","11","788","1.71"
"Santa Catarina","Masculino","42","Blanco","15","6000","1.59"
"Minas Gerais","Femenino","52","Pardo","15","1500","1.72"
"Bahia","Femenino","60","Pardo","11","1000","1.72"
"Amazonas","Masculino","38","Negro","14","3500","1.58"
" Goias","Femenino","35","Pardo","15","2500","1.62"
"Rio de Janeiro","Masculino","44","Blanco","14","5500","1.91"
"Alagoas","Femenino","41","Pardo","15","3000","1.64"
"Rio Grande do Norte","Masculino","60","Blanco","0","0","1.71"
"Rio Grande do Sul","Masculino","54","Blanco","11","4000","1.77"
"Parana","Femenino","47","Blanco","11","1500","1.59"
"Mato Grosso do Sul","Masculino","30","Negro","8","1200","1.61"
"Rio Grande do Norte","Femenino","51","Blanco","8","788","1.71"
"Paraiba","Femenino","43","Pardo","0","850","1.59"
"Piaui","Femenino","48","Pardo","9","791","1.7"
"Espirito Santo","Masculino","40","Pardo","15","5000","1.66"
"Rio Grande do Sul","Femenino","37","Pardo","5","500","1.71"
"Espirito Santo","Masculino","48","Pardo","5","500","1.56"
"Sao Paulo","Masculino","44","Blanco","13","2000","1.71"
"Rio de Janeiro","Masculino","60","Blanco","8","1000","1.58"
"Bahia","Masculino","46","Pardo","7","5000","1.73"
"Pernambuco","Masculino","39","Pardo","15","1400","1.55"
"Rio Grande do Sul","Masculino","53","Blanco","7","2000","1.89"
" Goias","Masculino","56","Pardo","2","1300","1.62"
"Minas Gerais","Femenino","34","Blanco","11","1600","1.66"
"Rio de Janeiro","Femenino","40","Blanco","11","3100","1.76"
"Parana","Masculino","59","Blanco","4","900","1.67"
"Alagoas","Masculino","39","Blanco","6","1500","1.76"
"Rondonia","Masculino","31","Blanco","11","1400","1.76"
"Parana","Femenino","34","Blanco","11","150","1.7"
"Sao Paulo","Masculino","50","Pardo","4","1200","1.75"
"Tocantins","Masculino","26","Pardo","15","2500","1.56"
"Sao Paulo","Femenino","35","Blanco","11","2000","1.75"
"Ceara","Femenino","52","Negro","8","800","1.8"
"Santa Catarina","Femenino","42","Blanco","11","2500","1.76"
"Parana","Masculino","26","Blanco","8","750","1.61"
"Parana","Masculino","53","Blanco","4","17000","1.61"
"Minas Gerais","Femenino","51","Pardo","11","788","1.63"
"Espirito Santo","Masculino","43","Pardo","8","1200","1.74"
"Espirito Santo","Masculino","25","Blanco","11","1200","1.76"
"Para","Femenino","43","Pardo","10","420","1.67"
"Sao Paulo","Masculino","38","Blanco","15","8900","1.67"
"Piaui","Masculino","53","Pardo","0","1000","1.63"
"Rio Grande do Sul","Masculino","48","Blanco","15","1500","1.65"
"Sergipe","Femenino","44","Pardo","3","50","1.79"
"Para","Masculino","29","Pardo","9","1600","1.66"
"Sao Paulo","Masculino","49","Negro","11","1100","1.73"
"Bahia","Masculino","47","Pardo","11","1500","1.82"
"Minas Gerais","Masculino","45","Pardo","8","2560","1.58"
"Para","Masculino","56","Pardo","0","800","1.7"
"Tocantins","Masculino","49","Blanco","0","400","1.81"
"Minas Gerais","Masculino","49","Pardo","12","480","1.79"
"Rio de Janeiro","Masculino","31","Pardo","8","2500","1.69"
"Minas Gerais","Femenino","75","Blanco","0","100","1.98"
"Para","Masculino","41","Pardo","0","600","1.81"
"Amazonas","Masculino","34","Pardo","11","1800","1.73"
"Minas Gerais","Masculino","33","Pardo","11","2300","1.57"
"Para","Masculino","51","Pardo","3","400","1.64"
"Para","Femenino","56","Pardo","11","1000","1.81"
"Maranhao","Masculino","50","Blanco","0","20","1.74"
"Parana","Masculino","79","Blanco","0","800","1.74"
"Alagoas","Masculino","57","Pardo","15","7500","1.74"
"Ceara","Masculino","39","Pardo","0","60","1.86"
"Rio Grande do Norte","Femenino","33","Negro","8","600","1.66"
"Minas Gerais","Masculino","24","Pardo","12","910","1.82"
"Maranhao","Masculino","62","Pardo","4","788","1.78"
"Pernambuco","Masculino","31","Pardo","11","788","1.7"
"Distrito Federal","Masculino","25","Pardo","11","1500","1.82"
"Amazonas","Femenino","38","Pardo","11","300","1.65"
"Paraiba","Masculino","53","Blanco","15","6000","1.68"
"Parana","Masculino","44","Blanco","11","15000","1.67"
"Para","Femenino","30","Pardo","9","2100","1.92"
"Rio de Janeiro","Masculino","23","Negro","11","1000","1.83"
"Para","Masculino","37","Negro","11","700","1.64"
" Goias","Masculino","18","Pardo","11","900","1.73"
"Bahia","Masculino","71","Blanco","4","200","1.83"
"Amazonas","Femenino","31","Pardo","10","450","1.71"
"Parana","Masculino","23","Pardo","5","600","1.79"
"Amazonas","Masculino","64","Blanco","11","3500","1.76"
"Bahia","Femenino","37","Pardo","11","788","1.68"
"Amapa","Masculino","52","Blanco","11","15000","1.67"
"Bahia","Masculino","59","Pardo","5","2500","1.7"
"Distrito Federal","Masculino","58","Pardo","7","3000","1.76"
" Goias","Masculino","59","Pardo","11","5500","1.81"
"Maranhao","Masculino","40","Negro","2","1200","1.68"
"Distrito Federal","Femenino","30","Negro","15","4500","1.75"
